Cluster,Gene_name
Cluster001,ERGIC1
Cluster001,DKFZp434K191
Cluster001,LOC644250
Cluster001,PPP2R3A
Cluster001,KIAA0408
Cluster001,GALNT3
Cluster001,HSD17B7
Cluster001,LOC440704
Cluster001,LOC648852
Cluster001,BCYRN1
Cluster001,ZNF93
Cluster001,USP49
Cluster001,PTP4A2
Cluster001,FAM63A
Cluster001,PTPLAD2
Cluster001,PCDHB19P
Cluster001,C14orf82
Cluster001,ZNF14
Cluster001,ALPP
Cluster001,ICA1
Cluster001,POLR2J4
Cluster001,LOC399900
Cluster001,RUNDC2C
Cluster001,LOC644591
Cluster001,LOC653489
Cluster001,ZNF786
Cluster001,MAGT1
Cluster001,DUSP19
Cluster001,LOC644852
Cluster001,ANKRD30B
Cluster001,RNF213
Cluster001,YRDC
Cluster001,CEP27
Cluster001,C9orf130
Cluster001,LOC653829
Cluster001,KIAA0492
Cluster001,EVI5
Cluster001,LOC643882
Cluster001,SDHALP1
Cluster001,EIF2AK4
Cluster001,MCART1
Cluster001,FLJ40722
Cluster001,SLC25A20
Cluster001,LOC647389
Cluster001,LMOD3
Cluster001,ALS2CR14
Cluster001,PTP4A2
Cluster001,LIN52
Cluster001,MCM8
Cluster001,ZNF486
Cluster001,TDRD1
Cluster001,SLC5A8
Cluster001,PIP5K2B
Cluster001,AHR
Cluster001,LOC653086
Cluster001,ZNF223
Cluster001,
Cluster001,
Cluster001,
Cluster001,
Cluster001,
Cluster001,
Cluster001,
Cluster001,PCDHB9
Cluster001,NUBPL
Cluster001,FAM119A
Cluster001,EID2B
Cluster001,RHBDL2
Cluster001,RHBDL2
Cluster001,DTWD2
Cluster001,MBD4
Cluster001,SLC35E1
Cluster001,ANKRD44
Cluster001,CYCSL1
Cluster001,PPM1K
Cluster001,IL10
Cluster001,C15orf63
Cluster001,NLRP8
Cluster001,HSPC268
Cluster001,C14orf153
Cluster001,C9orf80
Cluster001,LOC440157
Cluster001,SYAP1
Cluster001,HCG2P7
Cluster001,LOC123688
Cluster001,SNAPC1
Cluster001,ZNF669
Cluster001,MYO3B
Cluster001,MBTD1
Cluster001,MBTD1
Cluster001,PLDN
Cluster001,PTGR2
Cluster001,GDPD1
Cluster001,TNFSF15
Cluster001,BLZF1
Cluster001,BLZF1
Cluster001,GPR1
Cluster001,CHRNA5
Cluster001,C8orf45
Cluster001,ZNF394
Cluster001,DEM1
Cluster001,DUXAP3
Cluster001,C10orf58
Cluster001,FAM73A
Cluster001,CDKN2AIPNL
Cluster001,PATE2
Cluster001,C14orf85
Cluster001,FKBP14
Cluster001,C5orf28
Cluster001,SSTR2
Cluster001,SEMA3E
Cluster001,ZNF652
Cluster001,FAM40B
Cluster001,DMC1
Cluster001,DENR
Cluster001,TDRD1
Cluster001,ZNF69
Cluster001,ARL16
Cluster001,PHAX
Cluster001,FLJ46309
Cluster001,MRP63
Cluster001,XRCC2
Cluster001,FAM153B
Cluster001,SHROOM4
Cluster001,LEP
Cluster001,TMEM17
Cluster001,ZNF577
Cluster001,LRRFIP1
Cluster001,DDX51
Cluster001,PRRG4
Cluster001,LOC90586
Cluster001,N4BP2
Cluster001,ZNF549
Cluster001,C6orf170
Cluster001,FLJ44124
Cluster001,PLA2G2D
Cluster001,GRIPAP1
Cluster001,C11orf63
Cluster001,GSTTP2
Cluster001,SPTLC1
Cluster001,AIRE
Cluster001,TRIM13
Cluster001,WDR74
Cluster001,SLC4A5
Cluster001,POFUT1
Cluster001,FCAR
Cluster001,ZNF483
Cluster001,TDP1
Cluster001,CATSPER2
Cluster001,C3orf34
Cluster001,FUT6
Cluster001,ZNF682
Cluster001,DCLRE1C
Cluster001,MAFF
Cluster001,OCIAD1
Cluster001,CREB1
Cluster001,PPA2
Cluster001,ZNF557
Cluster001,MBOAT2
Cluster001,RASSF6
Cluster001,RAD51
Cluster001,HNRNPU
Cluster001,CRCP
Cluster001,VPS41
Cluster001,PRO1853
Cluster001,PDCD4
Cluster001,CDAN1
Cluster001,SULT1A1
Cluster001,BIRC3
Cluster001,IL17RD
Cluster001,RBM3
Cluster001,KIAA1751
Cluster001,LOC100128126
Cluster001,LOC100129269
Cluster001,FLJ36131
Cluster001,LOC100130168
Cluster001,LOC100130353
Cluster001,LOC100127975
Cluster001,LOC100129094
Cluster001,LOC100128084
Cluster001,LOC100129539
Cluster001,LOC255167
Cluster001,LOC100132526
Cluster001,LOC645452
Cluster001,LOC100131989
Cluster001,LOC202781
Cluster001,LOC728903
Cluster001,ZNF738
Cluster001,LOC730060
Cluster001,TMEM191A
Cluster001,LOC100131718
Cluster001,PLXNA4
Cluster001,LOC100130516
Cluster001,LOC100130445
Cluster001,LOC728620
Cluster001,LOC731789
Cluster001,LOC728105
Cluster001,HIATL2
Cluster001,LOC100128288
Cluster001,C2orf69
Cluster001,AK2P2
Cluster001,FAM175A
Cluster001,LOC100132585
Cluster001,LOC730313
Cluster001,LOC100129211
Cluster001,BMS1P5
Cluster001,LOC100132391
Cluster001,LOC100133298
Cluster001,LOC100134053
Cluster001,SMCR5
Cluster001,LOC100133772
Cluster001,QRFPR
Cluster001,LOC100132727
Cluster001,LOC100131835
Cluster001,CCDC125
Cluster001,LOC100134159
Cluster001,ZNF860
Cluster001,LRRC37B2
Cluster001,LOC100133516
Cluster001,LOC646996
Cluster001,TMEM106A
Cluster001,LOC100134868
Cluster001,KLHL28
Cluster001,PNPT1
Cluster001,LOC100130598
Cluster001,FLJ25363
Cluster001,LOC100128062
Cluster001,LOC100130053
Cluster001,LOC100128098
Cluster001,LOC100128510
Cluster001,LOC100129362
Cluster001,LOC100129502
Cluster001,LOC100130835
Cluster001,LOC100130276
Cluster001,FLJ35390
Cluster001,LOC648921
Cluster001,LOC654350
Cluster001,LOC391169
Cluster001,LOC400446
Cluster001,LOC645452
Cluster001,LOC389765
Cluster001,LOC401098
Cluster001,LOC729120
Cluster001,ZNF716
Cluster001,LOC730993
Cluster001,LOC730990
Cluster001,LOC728809
Cluster001,C21orf58
Cluster001,MIR2116
Cluster002,MPHOSPH10
Cluster002,TEX10
Cluster002,TIMM9
Cluster002,LOC347292
Cluster002,FAM136A
Cluster002,SARS2
Cluster002,WDR4
Cluster002,XPO4
Cluster002,WDR54
Cluster002,EXOSC5
Cluster002,CDAN1
Cluster002,APEX1
Cluster002,DNAJA3
Cluster002,RPF2
Cluster002,TCF3
Cluster002,KIAA0020
Cluster002,CSE1L
Cluster002,ZNHIT6
Cluster002,EI24
Cluster002,NME3
Cluster002,METAP2
Cluster002,COX10
Cluster002,AIMP2
Cluster002,ATIC
Cluster002,MRPS26
Cluster002,BZW2
Cluster002,REXO4
Cluster002,NSMCE4A
Cluster002,SLC25A23
Cluster002,TOMM40
Cluster002,UBE2Q2
Cluster002,PNPO
Cluster002,C16orf58
Cluster002,PARP1
Cluster002,POP5
Cluster002,PEBP1
Cluster002,ZBTB9
Cluster002,CD27
Cluster002,NOL11
Cluster002,POLR2H
Cluster002,RNMTL1
Cluster002,CSRP2BP
Cluster002,PPP3CC
Cluster002,POMGNT1
Cluster002,WDR18
Cluster002,ITFG2
Cluster002,DOCK10
Cluster002,PDCL3
Cluster002,GLTSCR2
Cluster002,NAT10
Cluster002,IMPDH2
Cluster002,CSE1L
Cluster002,CDK5RAP1
Cluster002,C14orf169
Cluster002,LGTN
Cluster002,MRPL3
Cluster002,TOMM22
Cluster002,SNRPA1
Cluster002,BOP1
Cluster002,FAM44B
Cluster002,MFSD3
Cluster002,FBL
Cluster002,MRPL38
Cluster002,NOP2
Cluster002,WDR36
Cluster002,LDHB
Cluster002,RPUSD2
Cluster002,RPUSD4
Cluster002,C2orf44
Cluster002,EIF2A
Cluster002,IMP3
Cluster002,NUP88
Cluster002,SDAD1
Cluster002,GLOD4
Cluster002,GRWD1
Cluster002,FBXO21
Cluster002,POLR1C
Cluster002,MRPL45
Cluster002,DDX10
Cluster002,RPS18
Cluster002,DDX18
Cluster002,LARS
Cluster002,TTC27
Cluster002,NXT1
Cluster002,NHP2L1
Cluster002,POLR1C
Cluster002,GEMIN4
Cluster002,FBXO31
Cluster002,TRIAP1
Cluster002,TYSND1
Cluster002,C21orf59
Cluster002,C8orf55
Cluster002,SFRS7
Cluster002,UBE2G2
Cluster002,POLR3H
Cluster002,THUMPD2
Cluster002,RPL23A
Cluster002,FARS2
Cluster002,ABHD14A
Cluster002,DIS3L
Cluster002,CIRH1A
Cluster002,LOC93622
Cluster002,C19orf2
Cluster002,RFTN1
Cluster002,WDR75
Cluster002,THOC1
Cluster002,C9orf114
Cluster002,MRPS9
Cluster002,LOC731985
Cluster002,DDX47
Cluster002,
Cluster002,NOP56
Cluster002,LOC388524
Cluster002,EXOSC7
Cluster002,AFG3L2
Cluster002,MRPL14
Cluster002,C8orf33
Cluster002,POLR1E
Cluster002,ZNF22
Cluster002,NCL
Cluster002,RPL18A
Cluster002,RPL18A
Cluster002,KIAA0090
Cluster002,RPL10A
Cluster002,RPS4X
Cluster002,ICT1
Cluster002,ZNF275
Cluster002,MGC3196
Cluster002,EEF1B2
Cluster002,ABCE1
Cluster002,SUMF2
Cluster002,MAP4K1
Cluster002,DPH2
Cluster002,CTPS2
Cluster002,GAR1
Cluster002,RPL13
Cluster002,LOC648294
Cluster002,LOC653162
Cluster002,LOC730029
Cluster002,LOC729608
Cluster002,LOC649076
Cluster002,POLR3E
Cluster002,LOC729617
Cluster002,C7orf40
Cluster002,LOC648771
Cluster002,LOC642741
Cluster002,LOC390345
Cluster002,LOC728031
Cluster002,LOC730004
Cluster003,RPS28
Cluster003,LOC653658
Cluster003,LOC648622
Cluster003,LOC642989
Cluster003,LOC388532
Cluster003,LOC653773
Cluster003,LOC731640
Cluster003,LOC648210
Cluster003,LOC645138
Cluster003,LOC388621
Cluster003,LOC641848
Cluster003,LOC651202
Cluster003,LOC728973
Cluster003,LOC643949
Cluster003,RPS27
Cluster003,LOC728481
Cluster003,LOC653232
Cluster003,RPL14
Cluster003,RPL23
Cluster003,PRKRA
Cluster003,PTMA
Cluster003,RPL7
Cluster003,LOC653314
Cluster003,RPL5
Cluster003,RPL13L
Cluster003,LOC649946
Cluster003,EIF3M
Cluster003,RPL9
Cluster003,LOC100129657
Cluster003,LOC100130892
Cluster003,LOC727865
Cluster003,LOC100131787
Cluster003,LOC387791
Cluster003,LOC341315
Cluster003,LOC100131196
Cluster003,LOC388076
Cluster003,LOC646527
Cluster003,LOC727821
Cluster003,LOC647030
Cluster003,LOC100131205
Cluster003,LOC728672
Cluster003,LOC728484
Cluster003,LOC728590
Cluster003,LOC729236
Cluster003,LOC387825
Cluster003,LOC730288
Cluster003,FLJ43681
Cluster003,LOC100132547
Cluster003,LOC728244
Cluster003,LOC644907
Cluster003,LOC730754
Cluster003,LOC100134504
Cluster003,EEF1AL7
Cluster003,LOC100134273
Cluster003,LOC100130070
Cluster003,LOC100129599
Cluster003,LOC100129028
Cluster003,LOC100128936
Cluster003,LOC100128410
Cluster003,LOC100129742
Cluster003,LOC727826
Cluster003,LOC100132291
Cluster003,LOC728060
Cluster003,LOC388339
Cluster003,LOC100132795
Cluster003,LOC441506
Cluster003,LOC646688
Cluster003,LOC440991
Cluster003,LOC642828
Cluster003,LOC645157
Cluster003,LOC441073
Cluster003,LOC391833
Cluster003,LOC727984
Cluster003,LOC391370
Cluster003,LOC338870
Cluster003,LOC100132673
Cluster003,LOC729340
Cluster003,LOC728428
Cluster003,LOC730255
Cluster003,LOC728590
Cluster003,LOC729208
Cluster004,LOC649150
Cluster004,LOC440589
Cluster004,EIF4B
Cluster004,LOC388654
Cluster004,ATP5G2
Cluster004,LOC285053
Cluster004,LOC648249
Cluster004,LOC390354
Cluster004,LOC284821
Cluster004,LOC731096
Cluster004,LOC158345
Cluster004,LOC402251
Cluster004,LOC440927
Cluster004,LOC285176
Cluster004,LOC441775
Cluster004,RPLP0
Cluster004,LOC387867
Cluster004,LOC647856
Cluster004,LOC440589
Cluster004,RPLP0
Cluster004,LOC649049
Cluster004,RPS3
Cluster004,RPL8
Cluster004,C19orf70
Cluster004,LOC649821
Cluster004,LOC347544
Cluster004,RPS4X
Cluster004,EEF1A1
Cluster004,EEF1A1
Cluster004,RPL12
Cluster004,RPL24
Cluster004,RPS2
Cluster004,EEF1G
Cluster004,RPL3
Cluster004,AES
Cluster004,LOC388707
Cluster004,LOC100132795
Cluster004,LOC644464
Cluster004,LOC284393
Cluster004,LOC644315
Cluster004,LOC646785
Cluster004,LOC728139
Cluster004,LOC645715
Cluster004,LOC728126
Cluster004,LOC286444
Cluster004,LOC646294
Cluster004,LOC440595
Cluster004,LOC645387
Cluster004,LOC401537
Cluster004,LOC441506
Cluster004,LOC728658
Cluster004,MGC87895
Cluster004,LOC728820
Cluster004,LOC641814
Cluster004,LOC100129553
Cluster004,LOC389141
Cluster004,LOC148430
Cluster004,LOC644464
Cluster004,LOC387930
Cluster004,LOC651198
Cluster004,LOC647276
Cluster004,LOC647285
Cluster004,LOC643531
Cluster004,LOC646294
Cluster004,LOC645387
Cluster004,LOC728658
Cluster004,RPL14L
Cluster004,LOC729926
Cluster005,CDT1
Cluster005,STMN1
Cluster005,RAD54L
Cluster005,CDCA2
Cluster005,CDC20
Cluster005,CDKN3
Cluster005,CDC45L
Cluster005,EXO1
Cluster005,AURKA
Cluster005,CDCA5
Cluster005,AURKB
Cluster005,KIF2C
Cluster005,TOP2A
Cluster005,KIF20A
Cluster005,HJURP
Cluster005,CDC25A
Cluster005,UBE2T
Cluster005,CENPE
Cluster005,CENPN
Cluster005,NUSAP1
Cluster005,C12orf48
Cluster005,PRC1
Cluster005,MCM4
Cluster005,CDCA3
Cluster005,POLQ
Cluster005,CEP55
Cluster005,CDC2
Cluster005,DLGAP5
Cluster005,NCAPG
Cluster005,CKAP2L
Cluster005,PTTG1
Cluster005,HMMR
Cluster005,UHRF1
Cluster005,CCNA2
Cluster005,PLK4
Cluster005,KIF11
Cluster005,TPX2
Cluster005,CENPA
Cluster005,CCNB2
Cluster005,TK1
Cluster005,TYMS
Cluster005,GINS2
Cluster005,ASPM
Cluster005,PTTG1
Cluster005,PTTG3P
Cluster005,RACGAP1
Cluster005,OIP5
Cluster005,BUB1
Cluster005,MELK
Cluster005,KIFC1
Cluster005,CENPE
Cluster005,KIAA0101
Cluster005,AURKA
Cluster005,CENPM
Cluster005,HMMR
Cluster005,CCNE2
Cluster005,STIL
Cluster005,DLGAP5
Cluster006,CA1
Cluster006,MUC6
Cluster006,SRRD
Cluster006,GYPC
Cluster006,ASCC2
Cluster006,SELENBP1
Cluster006,GYPB
Cluster006,SESN3
Cluster006,GYPE
Cluster006,AHSP
Cluster006,STRADB
Cluster006,SLC6A10P
Cluster006,LOC440359
Cluster006,C20orf108
Cluster006,ALAS2
Cluster006,LOC389599
Cluster006,FBXO7
Cluster006,KRT1
Cluster006,TMOD1
Cluster006,SERPINA13
Cluster006,SLC25A39
Cluster006,FBXO7
Cluster006,LOC440313
Cluster006,GSPT1
Cluster006,IFIT1L
Cluster006,HAGH
Cluster006,SLC4A1
Cluster006,FECH
Cluster006,CSDA
Cluster006,GLRX5
Cluster006,TSPAN5
Cluster006,LOC644852
Cluster006,DPYSL5
Cluster006,GPR175
Cluster006,SLC6A8
Cluster006,TNS1
Cluster006,EPB42
Cluster006,HBD
Cluster006,HBM
Cluster006,PIP5K2A
Cluster006,MBNL3
Cluster006,ALAS2
Cluster006,LOC100131726
Cluster006,LOC642469
Cluster006,LOC100131391
Cluster006,LOC100131164
Cluster007,EXOC6
Cluster007,ATP11B
Cluster007,PFKFB3
Cluster007,FLOT1
Cluster007,HK3
Cluster007,BMX
Cluster007,PGM2
Cluster007,ZNF438
Cluster007,SERPINB1
Cluster007,ITGAM
Cluster007,GADD45A
Cluster007,ANXA3
Cluster007,CA4
Cluster007,AGTPBP1
Cluster007,METTL9
Cluster007,TBC1D8
Cluster007,SNX3
Cluster007,LOC645058
Cluster007,IDI1
Cluster007,DACH1
Cluster007,C5orf32
Cluster007,GTDC1
Cluster007,C19orf59
Cluster007,BNIP2
Cluster007,WIPI1
Cluster007,TMEM2
Cluster007,HRB
Cluster007,BMX
Cluster007,MMP9
Cluster007,NLRC4
Cluster007,UPP1
Cluster007,CLEC4D
Cluster007,TDRD9
Cluster007,PHCA
Cluster007,PECR
Cluster007,GADD45A
Cluster007,PGS1
Cluster007,FCER1G
Cluster007,TDRD9
Cluster007,PFKFB3
Cluster007,PGK1
Cluster007,HBXIP
Cluster007,TMCO3
Cluster007,RABGEF1
Cluster007,GYG1
Cluster007,LILRA6
Cluster008,ASPSCR1
Cluster008,PUS1
Cluster008,DDX56
Cluster008,GGA2
Cluster008,JMJD8
Cluster008,CD81
Cluster008,VARS
Cluster008,ILF3
Cluster008,AKR1B1
Cluster008,C17orf70
Cluster008,TMED3
Cluster008,SCRIB
Cluster008,TYW3
Cluster008,TTC3
Cluster008,VARS2
Cluster008,GTPBP3
Cluster008,FAM38A
Cluster008,XPO5
Cluster008,PMPCA
Cluster008,PRPF19
Cluster008,BMS1
Cluster008,GTPBP6
Cluster008,NUP210
Cluster008,UBQLN4
Cluster008,ZDHHC8
Cluster008,FBXL10
Cluster008,PPRC1
Cluster008,UROS
Cluster008,WDR74
Cluster008,RSAD1
Cluster008,AOF2
Cluster008,DHX37
Cluster008,DDX19A
Cluster008,DPP7
Cluster008,NOL6
Cluster008,EIF3B
Cluster008,DFFA
Cluster008,URG4
Cluster008,JMJD8
Cluster008,LOC100128805
Cluster009,RPL12
Cluster009,LOC285900
Cluster009,LOC644039
Cluster009,ADCK2
Cluster009,LOC648000
Cluster009,LOC652624
Cluster009,LOC440737
Cluster009,RPL36
Cluster009,LOC91561
Cluster009,EEF1B2
Cluster009,RPS5
Cluster009,RPL13A
Cluster009,RSL1D1
Cluster009,LOC646200
Cluster009,RPL7A
Cluster009,LOC127295
Cluster009,RPL4
Cluster009,EIF3L
Cluster009,LOC645688
Cluster009,LOC646766
Cluster009,LOC441246
Cluster009,LOC644511
Cluster009,C12orf57
Cluster009,APEX1
Cluster009,RPLP1
Cluster009,RPSA
Cluster009,LOC728128
Cluster009,LOC646688
Cluster009,LOC645173
Cluster009,LOC729742
Cluster009,LOC729500
Cluster009,LOC729679
Cluster009,RPS8
Cluster009,LOC653881
Cluster009,LOC727865
Cluster009,LOC728553
Cluster009,LOC729798
Cluster009,LOC729500
Cluster010,HERC6
Cluster010,RSAD2
Cluster010,MX1
Cluster010,OAS2
Cluster010,OAS1
Cluster010,DHX58
Cluster010,LY6E
Cluster010,IFIT5
Cluster010,IFIT1
Cluster010,IFIT3
Cluster010,IFIT1
Cluster010,OAS2
Cluster010,PARP12
Cluster010,IFI44L
Cluster010,MOV10
Cluster010,HERC5
Cluster010,OAS2
Cluster010,IFIT2
Cluster010,XAF1
Cluster010,OAS3
Cluster010,IFI44
Cluster010,ZBP1
Cluster010,CMPK2
Cluster010,DDX60
Cluster010,
Cluster010,ISG15
Cluster010,RTP4
Cluster010,OAS2
Cluster010,IFI6
Cluster010,XAF1
Cluster010,EPSTI1
Cluster010,OAS1
Cluster011,BCL11B
Cluster011,PTPRCAP
Cluster011,LEF1
Cluster011,TRAT1
Cluster011,IL7R
Cluster011,ITK
Cluster011,FAM113B
Cluster011,TRIB2
Cluster011,CCR7
Cluster011,TCEA3
Cluster011,PPP1R16B
Cluster011,CD3E
Cluster011,PLCG1
Cluster011,CD6
Cluster011,CD5
Cluster011,MGC15763
Cluster011,TNFRSF25
Cluster011,SERPINA10
Cluster011,ITPR3
Cluster011,
Cluster011,
Cluster011,FLT3LG
Cluster011,LEF1
Cluster011,LBH
Cluster011,MAL
Cluster011,MAL
Cluster011,IL7R
Cluster011,DYRK2
Cluster011,PLEKHA1
Cluster011,FAM102A
Cluster011,C2orf89
Cluster012,SH3KBP1
Cluster012,TSEN54
Cluster012,PYHIN1
Cluster012,LPIN1
Cluster012,CD247
Cluster012,C6orf190
Cluster012,IL2RB
Cluster012,CD2
Cluster012,SH2D1A
Cluster012,PLEKHF1
Cluster012,CD96
Cluster012,CD3G
Cluster012,ZAP70
Cluster012,SBK1
Cluster012,PRKCQ
Cluster012,PYHIN1
Cluster012,SKAP1
Cluster012,IL32
Cluster012,RUNX3
Cluster012,CD7
Cluster012,
Cluster012,KLRB1
Cluster012,CD3D
Cluster012,CD3D
Cluster012,SKAP1
Cluster012,UBASH3A
Cluster012,IL32
Cluster012,DYRK2
Cluster012,CD247
Cluster012,PYHIN1
Cluster012,CD96
Cluster013,AKIRIN1
Cluster013,CRLF3
Cluster013,DYRK1A
Cluster013,AKIRIN1
Cluster013,MAT2B
Cluster013,SNAP23
Cluster013,PPM1A
Cluster013,LOC644063
Cluster013,SON
Cluster013,FCGR2A
Cluster013,HNRPK
Cluster013,LOC653994
Cluster013,HERC3
Cluster013,SSFA2
Cluster013,GIT2
Cluster013,ARID4B
Cluster013,THAP1
Cluster013,JAK1
Cluster013,
Cluster013,SFRS2IP
Cluster013,GTF2IP1
Cluster013,EIF4G2
Cluster013,GIT2
Cluster013,OGT
Cluster013,G3BP2
Cluster013,PPM1A
Cluster013,LOC401805
Cluster013,LOC441711
Cluster013,NR2C2
Cluster014,KLRG1
Cluster014,SAMD3
Cluster014,PPP2R2B
Cluster014,GNLY
Cluster014,GZMK
Cluster014,GZMH
Cluster014,PRF1
Cluster014,EOMES
Cluster014,FGFBP2
Cluster014,CD8A
Cluster014,GZMA
Cluster014,TGFBR3
Cluster014,NCALD
Cluster014,GNLY
Cluster014,PTPN4
Cluster014,CLIC3
Cluster014,KLRD1
Cluster014,KLRD1
Cluster014,S1PR5
Cluster014,GZMB
Cluster014,GNLY
Cluster014,SAMD3
Cluster014,MATK
Cluster014,SYTL2
Cluster014,NCALD
Cluster014,GPR56
Cluster014,CD8A
Cluster014,GPR56
Cluster015,LOC642788
Cluster015,LOC730953
Cluster015,LOC646434
Cluster015,LOC728417
Cluster015,LOC641710
Cluster015,LOC441124
Cluster015,LOC641693
Cluster015,LOC642267
Cluster015,LOC643313
Cluster015,LOC642816
Cluster015,LOC642780
Cluster015,LOC728417
Cluster015,LOC642334
Cluster015,LOC100132287
Cluster015,LOC729010
Cluster015,LOC100134822
Cluster015,LOC100134703
Cluster015,LOC100132119
Cluster015,LOC100129904
Cluster015,LOC100129343
Cluster015,LOC731275
Cluster015,LOC730234
Cluster016,LOC642113
Cluster016,LOC652694
Cluster016,ITM2C
Cluster016,LOC647450
Cluster016,SEC11C
Cluster016,LOC652493
Cluster016,TNFRSF13B
Cluster016,COBLL1
Cluster016,TNFRSF17
Cluster016,TXNDC5
Cluster016,TXNDC5
Cluster016,LOC649923
Cluster016,GLDC
Cluster016,POU2AF1
Cluster016,IGJ
Cluster016,MGC29506
Cluster016,CD38
Cluster016,ABCB9
Cluster016,ABCB9
Cluster016,ITM2C
Cluster016,IGLL1
Cluster016,TXNDC5
Cluster016,LOC647506
Cluster017,PRTN3
Cluster017,SLC2A5
Cluster017,DEFA1B
Cluster017,CTSG
Cluster017,LOC653600
Cluster017,MS4A3
Cluster017,ABCA13
Cluster017,MPO
Cluster017,ELANE
Cluster017,MYB
Cluster017,CEACAM6
Cluster017,DEFA1B
Cluster017,AZU1
Cluster017,MS4A3
Cluster017,DEFA4
Cluster017,CFC1B
Cluster017,CEACAM8
Cluster017,DEFA1B
Cluster017,RNASE3
Cluster017,DEFA3
Cluster017,DEFA1
Cluster017,LOC284648
Cluster018,CCNDBP1
Cluster018,LOC647349
Cluster018,LYPLA1
Cluster018,YWHAZ
Cluster018,ARF4